Kentucky,3,2017,47.0,18
Louisiana,3,2017,63.0,33
Maine,3,2017,21.4,15
Maryland,3,2017,43.4,0
Massachusetts,3,2017,32.2,30
Michigan,3,2017,30.3,4
Minnesota,3,2017,26.0,26
Mississippi,3,2017,58.6,8
Missouri,3,2017,46.8,37
Montana,3,2017,30.6,31
Nebraska,3,2017,38.8,9
Nevada,3,2017,41.9,1
New Hampshire,3,2017,26.0,44
New Jersey,3,2017,39.6,45
New Mexico,3,2017,47.8,34
New York,3,2017,29.4,10
North Carolina,3,2017,50.4,5
North Dakota,3,2017,24.0,35
Ohio,3,2017,40.4,6
Oklahoma,3,2017,53.4,27
Oregon,3,2017,38.2,47
Pennsylvania,3,2017,36.0,16
Rhode Island,3,2017,34.6,7
South Carolina,3,2017,55.5,11
South Dakota,3,2017,32.4,19
Tennessee,3,2017,50.0,46
Texas,3,2017,61.0,38
Utah,3,2017,40.9,28
Vermont,3,2017,24.6,12
Virginia,3,2017,46.0,36
Washington,3,2017,35.2,17
West Virginia,3,2017,42.2,13
Wisconsin,3,2017,29.0,14
Wyoming,3,2017,33.1,39
Alabama,4,2017,62.8,29
Arizona,4,2017,58.2,2
Arkansas,4,2017,59.9,20
California,4,2017,54.5,21
Colorado,4,2017,43.4,40
Connecticut,4,2017,42.6,22
Delaware,4,2017,51.7,41
Florida,4,2017,69.2,3
Georgia,4,2017,62.8,23
Idaho,4,2017,39.4,24
Illinois,4,2017,49.8,25
Indiana,4,2017,49.8,32
Iowa,4,2017,44.3,42
Kansas,4,2017,52.2,43
Kentucky,4,2017,54.7,18
Louisiana,4,2017,66.9,33
Maine,4,2017,32.1,15
Maryland,4,2017,51.3,0
Massachusetts,4,2017,40.8,30
Michigan,4,2017,39.0,4
Minnesota,4,2017,36.3,26
Mississippi,4,2017,63.7,8
Missouri,4,2017,53.4,37
Montana,4,2017,39.0,31
Nebraska,4,2017,46.0,9
Nevada,4,2017,46.4,1
New Hampshire,4,2017,35.6,44
New Jersey,4,2017,47.4,45
New Mexico,4,2017,52.4,34
New York,4,2017,38.5,10
North Carolina,4,2017,57.0,5
North Dakota,4,2017,35.0,35
Ohio,4,2017,48.5,6
Oklahoma,4,2017,58.8,27
Oregon,4,2017,42.2,47
Pennsylvania,4,2017,44.5,16
Rhode Island,4,2017,42.8,7
South Carolina,4,2017,61.2,11
South Dakota,4,2017,40.8,19
Tennessee,4,2017,57.1,46
Texas,4,2017,65.4,38
Utah,4,2017,45.6,28
Vermont,4,2017,34.4,12
Virginia,4,2017,53.2,36
Washington,4,2017,41.8,17
West Virginia,4,2017,49.9,13
Wisconsin,4,2017,38.3,14
Wyoming,4,2017,39.2,39
Alabama,5,2017,68.6,29
Arizona,5,2017,63.0,2
Arkansas,5,2017,65.9,20
California,5,2017,59.5,21
Colorado,5,2017,47.9,40
Connecticut,5,2017,54.2,22
Delaware,5,2017,61.2,41
Florida,5,2017,74.7,3
Georgia,5,2017,69.4,23
Idaho,5,2017,45.4,24
Illinois,5,2017,59.2,25
Indiana,5,2017,59.0,32
Iowa,5,2017,54.8,42
Kansas,5,2017,58.9,43
Kentucky,5,2017,63.2,18
Louisiana,5,2017,70.6,33
Maine,5,2017,46.4,15
Maryland,5,2017,60.8,0
Massachusetts,5,2017,52.7,30
Michigan,5,2017,50.1,4
Minnesota,5,2017,49.0,26
Mississippi,5,2017,68.7,8
Missouri,5,2017,61.3,37
Montana,5,2017,47.2,31
Nebraska,5,2017,53.4,9
Nevada,5,2017,52.1,1
New Hampshire,5,2017,49.0,44
New Jersey,5,2017,58.0,45
New Mexico,5,2017,56.9,34
New York,5,2017,51.4,10
North Carolina,5,2017,65.8,5
North Dakota,5,2017,48.8,35
Ohio,5,2017,58.4,6
Oklahoma,5,2017,64.2,27
Oregon,5,2017,47.9,47
Pennsylvania,5,2017,55.4,16
Rhode Island,5,2017,54.0,7
South Carolina,5,2017,69.2,11
South Dakota,5,2017,51.0,19
Tennessee,5,2017,64.8,46
Texas,5,2017,69.6,38
Utah,5,2017,50.8,28
Vermont,5,2017,48.5,12
Virginia,5,2017,62.0,36
Washington,5,2017,49.0,17
West Virginia,5,2017,59.2,13
Wisconsin,5,2017,49.8,14
Wyoming,5,2017,44.6,39
Alabama,6,2017,72.9,29
Arizona,6,2017,72.9,2
Arkansas,6,2017,71.6,20
California,6,2017,68.1,21
Colorado,6,2017,58.2,40
Connecticut,6,2017,61.8,22
Delaware,6,2017,68.2,41
Florida,6,2017,78.6,3
Georgia,6,2017,74.0,23
Idaho,6,2017,54.8,24
Illinois,6,2017,67.3,25
Indiana,6,2017,66.0,32
Iowa,6,2017,64.8,42
Kansas,6,2017,68.6,43
Kentucky,6,2017,68.4,18
Louisiana,6,2017,75.2,33
Maine,6,2017,55.8,15
Maryland,6,2017,67.4,0
Massachusetts,6,2017,60.6,30
Michigan,6,2017,59.2,4
Minnesota,6,2017,59.3,26
Mississippi,6,2017,73.4,8
Missouri,6,2017,68.8,37
Montana,6,2017,56.4,31
Nebraska,6,2017,63.8,9
Nevada,6,2017,62.8,1
New Hampshire,6,2017,57.4,44
New Jersey,6,2017,65.2,45
New Mexico,6,2017,66.4,34
New York,6,2017,59.0,10
North Carolina,6,2017,70.8,5
North Dakota,6,2017,59.8,35
Ohio,6,2017,64.8,6
Oklahoma,6,2017,72.1,27
Oregon,6,2017,56.4,47
Pennsylvania,6,2017,62.0,16
Rhode Island,6,2017,61.6,7
South Carolina,6,2017,74.2,11
